CMDLINE /usr/local/bin/python3 MemTest.py
CHLD 6 24.863281 1631459698.2081
CHLD 7 25.769531 1631459698.2082
CHLD 8 25.773438 1631459698.2082
CHLD 9 24.878906 1631459698.2083
MEM 18.863281 1631459698.3108
CHLD 0 7.519531 1631459698.3186
CHLD 1 24.781250 1631459698.3186
CHLD 2 23.968750 1631459698.3187
CHLD 3 23.546875 1631459698.3187
CHLD 4 23.519531 1631459698.3187
CHLD 5 25.746094 1631459698.3188
CHLD 6 24.863281 1631459698.3188
CHLD 7 25.769531 1631459698.3188
CHLD 8 25.773438 1631459698.3189
CHLD 9 24.878906 1631459698.3189
MEM 18.863281 1631459698.4193
CHLD 0 7.519531 1631459698.4269
CHLD 1 24.781250 1631459698.4270
CHLD 2 23.968750 1631459698.4270
CHLD 3 23.546875 1631459698.4270
CHLD 4 23.519531 1631459698.4271
CHLD 5 25.746094 1631459698.4271
CHLD 6 24.863281 1631459698.4272
CHLD 7 25.769531 1631459698.4272
CHLD 8 25.773438 1631459698.4272
